7/13/2023,23.9,31.3
7/14/2023,23.2,29.9
7/15/2023,22.6,30.1
7/16/2023,22.3,27.9
7/17/2023,22.1,31
7/18/2023,24.4,32.7
7/19/2023,25.8,34
7/20/2023,26.8,35.3
7/21/2023,27.5,35.5
7/22/2023,25.9,36.6
7/23/2023,23,32
7/24/2023,24.9,28.4
7/25/2023,25.5,31.2
7/26/2023,25.8,30.9
7/27/2023,26.8,38.4
7/28/2023,25.6,35.2
7/29/2023,25.1,33.7
7/30/2023,25.3,36.5
7/31/2023,25.7,32.4
8/1/2023,25.7,32.2
8/2/2023,26.5,32.7
8/3/2023,25.3,32.2
8/4/2023,26.6,30.1
8/5/2023,24.7,32.8
8/6/2023,25.4,30.4
8/7/2023,23.9,26.1
8/8/2023,22.6,30.1
8/9/2023,22.5,30.9
8/10/2023,24.1,28.4
8/11/2023,26.4,35
8/12/2023,24.4,32.3
8/13/2023,25.3,34.3
8/14/2023,25,34.3
8/15/2023,24.3,30.2
8/16/2023,23.1,24.4
8/17/2023,22.4,27.3
8/18/2023,22.5,28.9
8/19/2023,21.1,29.7
8/20/2023,25.8,32.1
8/21/2023,24.4,31.2
8/22/2023,26,32.2
8/23/2023,25.2,34.2
8/24/2023,26.4,28.4
8/25/2023,26.1,31.5
8/26/2023,24.3,32.9
8/27/2023,22.6,32.5
8/28/2023,24.7,33
8/29/2023,22.4,29.6
8/30/2023,23.9,35.6
8/31/2023,23.1,37.7
9/1/2023,20.4,33.1
9/2/2023,20.5,26.6
9/3/2023,23.9,29
9/4/2023,24.8,33.2
9/5/2023,25.1,35.4
9/6/2023,24.7,33.2
9/7/2023,26.1,32.1
9/8/2023,23.4,34.2
9/9/2023,24.5,35.5
9/10/2023,25.7,34.3
9/11/2023,24.1,32.3
9/12/2023,25.5,30.1
9/13/2023,23.2,29.2
9/14/2023,22.2,32.8
9/15/2023,23.8,32.9
9/16/2023,23.3,30.3
9/17/2023,24.5,33.2
9/18/2023,23.2,31.3
9/19/2023,22.6,27.5
9/20/2023,20.6,28.3
9/21/2023,25.9,32.9
9/22/2023,26.9,37.5
9/23/2023,27.9,39.3
9/24/2023,27.1,36.6
9/25/2023,26.6,36.2
9/26/2023,25.8,38.1
9/27/2023,25.4,34.8
9/28/2023,26.7,32.7
9/29/2023,24.5,37.4
9/30/2023,30.2,36
10/1/2023,26.7,35.1
10/2/2023,27.2,32.9
10/3/2023,22.7,32.6
10/4/2023,20.8,28.7
10/5/2023,21.8,31.8
10/6/2023,25.5,31.7
10/7/2023,24,32.2
10/8/2023,23,27.1
10/9/2023,21.4,27.5
10/10/2023,21.5,32.5
10/11/2023,23.7,34.5
10/12/2023,24.6,33.2
10/13/2023,22.6,29.3
10/14/2023,23.1,30.1
10/15/2023,23.5,32.8
10/16/2023,21.4,31.2
10/17/2023,24.5,34.3
10/18/2023,24.2,28.7
10/19/2023,24.4,29.7
10/20/2023,25.1,35
10/21/2023,23.5,33.4
10/22/2023,21.4,28.8
10/23/2023,19.7,28.6
10/24/2023,22.7,30
10/25/2023,22.6,27.7
10/26/2023,23.7,29.1
10/27/2023,23,27.4
10/28/2023,23.5,27.6
10/29/2023,22.5,26.3
10/30/2023,24.3,31.1
10/31/2023,21.8,31.9
11/1/2023,24.8,29.9
11/2/2023,24.8,31.3
11/3/2023,25.7,34.6
11/4/2023,24.6,33
11/5/2023,25.3,30.1
11/6/2023,24.6,29.9
11/7/2023,24.5,33.7
11/8/2023,27.1,34.3
11/9/2023,25.3,32.8
11/10/2023,25.5,34.5
11/11/2023,25.3,33
11/12/2023,24.9,33.3
11/13/2023,26.4,30.4
11/14/2023,27.5,31.3
11/15/2023,26,34.4
11/16/2023,26.7,33.9
11/17/2023,27,32.5
11/18/2023,25.7,34.2
11/19/2023,23.5,31
11/20/2023,23.1,28.8
11/21/2023,23.5,30.5
11/22/2023,22.2,29.6
11/23/2023,23.6,30.1
11/24/2023,22.7,32.2
11/25/2023,24.6,31.7
11/26/2023,20.8,32.2
11/27/2023,22.2,28.3
11/28/2023,23.7,27.8
11/29/2023,25.6,32.9
11/30/2023,24.8,35
12/1/2023,26.4,32.1
12/2/2023,23.5,30.5
12/3/2023,23.9,32.6
12/4/2023,24.2,34.1
12/5/2023,25,31.1
12/6/2023,23.3,30.4
12/7/2023,23.3,30.6
12/8/2023,25.3,28.6
12/9/2023,23.9,31.5
